Algorithm,Data Type,Size,Execution Time (s),Speedup
Deterministic Quicksort,random,100,6.0941558331251144e-05,1.0
Randomized Quicksort,random,100,9.734183549880981e-05,0.6260572139303483
Deterministic Quicksort,random,500,0.0004179250448942184,1.0
Randomized Quicksort,random,500,0.0006133917719125748,0.6813346119578928
Deterministic Quicksort,random,1000,0.001135716773569584,1.0
Randomized Quicksort,random,1000,0.0013731081038713456,0.8271138815418395
Deterministic Quicksort,random,2000,0.0022168084047734737,1.0
Randomized Quicksort,random,2000,0.003092466853559017,0.7168414439825677
Deterministic Quicksort,random,5000,0.006613100413233042,1.0
Randomized Quicksort,random,5000,0.008525141701102256,0.7757173599094549
Deterministic Quicksort,random,10000,0.014169433526694775,1.0
Randomized Quicksort,random,10000,0.017956725135445595,0.7890878442375379
Deterministic Quicksort,repeated,100,8.634133264422417e-05,1.0
Randomized Quicksort,repeated,100,0.0001284165307879448,0.672353723577849
Deterministic Quicksort,repeated,500,0.0012589167803525926,1.0
Randomized Quicksort,repeated,500,0.0015896084718406201,0.7919665770873019
Deterministic Quicksort,repeated,1000,0.004946183506399393,1.0
Randomized Quicksort,repeated,1000,0.0056383166462183,0.877244719790058
Deterministic Quicksort,repeated,2000,0.01848200000822544,1.0
Randomized Quicksort,repeated,2000,0.020047033112496136,0.9219319339930083
Deterministic Quicksort,repeated,5000,0.11180456671863795,1.0
Randomized Quicksort,repeated,5000,0.11613424150273204,0.9627183617159782
Deterministic Quicksort,repeated,10000,0.44207014981657267,1.0
Randomized Quicksort,repeated,10000,0.4512007666751742,0.9797637381561126
Deterministic Quicksort,reverse,100,0.0003201669082045555,1.0
Randomized Quicksort,reverse,100,9.73752699792385e-05,3.2879694020136596
Deterministic Quicksort,reverse,500,0.00756517518311739,1.0
Randomized Quicksort,reverse,500,0.0005976497195661068,12.658209207576807
Deterministic Quicksort,reverse,1000,0.03191584190353751,1.0
Randomized Quicksort,reverse,1000,0.001306474767625332,24.42897688835447
Deterministic Quicksort,reverse,2000,0.1539769496768713,1.0
Randomized Quicksort,reverse,2000,0.0032757668755948543,47.00485581682618
Deterministic Quicksort,reverse,5000,0.8179562500678003,1.0
Randomized Quicksort,reverse,5000,0.008023949991911649,101.93935043118682
Deterministic Quicksort,reverse,10000,3.2944271333515642,1.0
Randomized Quicksort,reverse,10000,0.016699833422899248,197.2730535643643
Deterministic Quicksort,sorted,100,0.0002296915277838707,1.0
Randomized Quicksort,sorted,100,9.325835853815078e-05,2.4629591533064232
Deterministic Quicksort,sorted,500,0.005012891627848149,1.0
Randomized Quicksort,sorted,500,0.0005884836427867413,8.51831939475802
Deterministic Quicksort,sorted,1000,0.02015335839241743,1.0
Randomized Quicksort,sorted,1000,0.0013506916351616383,14.920769380500134
Deterministic Quicksort,sorted,2000,0.07936038346961141,1.0
Randomized Quicksort,sorted,2000,0.0028387666679918766,27.955937472575155
Deterministic Quicksort,sorted,5000,0.5102464916184545,1.0
Randomized Quicksort,sorted,5000,0.0079992831684649,63.78652697656323
Deterministic Quicksort,sorted,10000,2.043555574864149,1.0
Randomized Quicksort,sorted,10000,0.01685655815526843,121.23207810518818
