Algorithm,Data Type,Size,Execution Time (s)
Heapsort,nearly_sorted,100,9.506660280749202e-05
Merge Sort,nearly_sorted,100,7.144160335883498e-05
Quicksort (Randomized),nearly_sorted,100,5.064179422333837e-05
Heapsort,nearly_sorted,500,0.0006444332015234977
Merge Sort,nearly_sorted,500,0.0004698166041634977
Quicksort (Randomized),nearly_sorted,500,0.0003309167979750782
Heapsort,nearly_sorted,1000,0.0015161168004851789
Merge Sort,nearly_sorted,1000,0.0009993751998990774
Quicksort (Randomized),nearly_sorted,1000,0.000744991801911965
Heapsort,nearly_sorted,2000,0.00339744160301052
Merge Sort,nearly_sorted,2000,0.0021561748057138176
Quicksort (Randomized),nearly_sorted,2000,0.0016343915951438249
Heapsort,nearly_sorted,5000,0.009803399996599182
Merge Sort,nearly_sorted,5000,0.006166133197257295
Quicksort (Randomized),nearly_sorted,5000,0.004353616602020338
Heapsort,nearly_sorted,10000,0.021432341390755026
Merge Sort,nearly_sorted,10000,0.013167791801970452
Quicksort (Randomized),nearly_sorted,10000,0.009357824799371884
Heapsort,random,100,9.489160147495568e-05
Merge Sort,random,100,8.397478959523141e-05
Quicksort (Randomized),random,100,5.887519218958914e-05
Heapsort,random,500,0.0011110750027000904
Merge Sort,random,500,0.0005964665848296136
Quicksort (Randomized),random,500,0.0005330502113793045
Heapsort,random,1000,0.0018131749937310814
Merge Sort,random,1000,0.0014868081954773516
Quicksort (Randomized),random,1000,0.001096058398252353
Heapsort,random,2000,0.003844575199764222
Merge Sort,random,2000,0.002515224803937599
Quicksort (Randomized),random,2000,0.001896824996219948
Heapsort,random,5000,0.009206799801904707
Merge Sort,random,5000,0.00658299180213362
Quicksort (Randomized),random,5000,0.004582133190706372
Heapsort,random,10000,0.01981654159608297
Merge Sort,random,10000,0.013883899996289983
Quicksort (Randomized),random,10000,0.00954372501000762
Heapsort,reverse,100,7.70913960877806e-05
Merge Sort,reverse,100,6.990839610807598e-05
Quicksort (Randomized),reverse,100,5.0141598330810665e-05
Heapsort,reverse,500,0.0005468419985845685
Merge Sort,reverse,500,0.000436041597276926
Quicksort (Randomized),reverse,500,0.00033319140202365817
Heapsort,reverse,1000,0.0012869247992057353
Merge Sort,reverse,1000,0.000958383415127173
Quicksort (Randomized),reverse,1000,0.0007473413948900998
Heapsort,reverse,2000,0.002992333209840581
Merge Sort,reverse,2000,0.0019981917925179006
Quicksort (Randomized),reverse,2000,0.0016202082042582333
Heapsort,reverse,5000,0.008540066599380225
Merge Sort,reverse,5000,0.005458824994275346
Quicksort (Randomized),reverse,5000,0.004304700199281797
Heapsort,reverse,10000,0.018989624798996373
Merge Sort,reverse,10000,0.011813741392688825
Quicksort (Randomized),reverse,10000,0.009447158599505201
Heapsort,sorted,100,9.15086071472615e-05
Merge Sort,sorted,100,6.71001907903701e-05
Quicksort (Randomized),sorted,100,5.323340301401913e-05
Heapsort,sorted,500,0.0006496168090961874
Merge Sort,sorted,500,0.000439633394125849
Quicksort (Randomized),sorted,500,0.000324467004975304
Heapsort,sorted,1000,0.0014741582039278001
Merge Sort,sorted,1000,0.0009260915976483375
Quicksort (Randomized),sorted,1000,0.0007040416006930172
Heapsort,sorted,2000,0.003348041797289625
Merge Sort,sorted,2000,0.001935300009790808
Quicksort (Randomized),sorted,2000,0.0015768665936775506
Heapsort,sorted,5000,0.009774525195825844
Merge Sort,sorted,5000,0.0053613915981259195
Quicksort (Randomized),sorted,5000,0.004312949994346127
Heapsort,sorted,10000,0.02136930839624256
Merge Sort,sorted,10000,0.01151106680626981
Quicksort (Randomized),sorted,10000,0.009353858401300385
