Algorithm,Data Type,Size,Execution Time (s)
Deterministic Quicksort,nearly_sorted,100,9.625805541872978e-05
Randomized Quicksort,nearly_sorted,100,5.675014108419418e-05
Deterministic Quicksort,nearly_sorted,500,0.001034991256892681
Randomized Quicksort,nearly_sorted,500,0.0003751917742192745
Deterministic Quicksort,nearly_sorted,1000,0.0021309085190296174
Randomized Quicksort,nearly_sorted,1000,0.0008390664122998714
Deterministic Quicksort,nearly_sorted,2000,0.00392169151455164
Randomized Quicksort,nearly_sorted,2000,0.001804658118635416
Deterministic Quicksort,nearly_sorted,5000,0.015017383452504873
Randomized Quicksort,nearly_sorted,5000,0.004864858277142048
Deterministic Quicksort,nearly_sorted,10000,0.02031744159758091
Randomized Quicksort,nearly_sorted,10000,0.010470433067530394
Deterministic Quicksort,random,100,4.0724780410528184e-05
Randomized Quicksort,random,100,5.99750317633152e-05
Deterministic Quicksort,random,500,0.0002673668786883354
Randomized Quicksort,random,500,0.00038860002532601354
Deterministic Quicksort,random,1000,0.0006212749518454075
Randomized Quicksort,random,1000,0.0008565251715481281
Deterministic Quicksort,random,2000,0.0014130499213933945
Randomized Quicksort,random,2000,0.0018433081917464734
Deterministic Quicksort,random,5000,0.0038367499597370624
Randomized Quicksort,random,5000,0.0050489665940403935
Deterministic Quicksort,random,10000,0.008426574803888798
Randomized Quicksort,random,10000,0.010672558099031448
Deterministic Quicksort,reverse,100,0.0001854083500802517
Randomized Quicksort,reverse,100,5.6133419275283816e-05
Deterministic Quicksort,reverse,500,0.004652608279138803
Randomized Quicksort,reverse,500,0.00036590853706002234
Deterministic Quicksort,reverse,1000,0.019527524709701538
Randomized Quicksort,reverse,1000,0.0008005416020750999
Deterministic Quicksort,reverse,2000,0.07797816693782807
Randomized Quicksort,reverse,2000,0.0017529084347188474
Deterministic Quicksort,reverse,5000,0.49588676672428844
Randomized Quicksort,reverse,5000,0.004936375096440316
Deterministic Quicksort,reverse,10000,2.1037097333930435
Randomized Quicksort,reverse,10000,0.009999875165522098
Deterministic Quicksort,sorted,100,0.00023682499304413795
Randomized Quicksort,sorted,100,5.699144676327705e-05
Deterministic Quicksort,sorted,500,0.0059267163276672365
Randomized Quicksort,sorted,500,0.0003652582876384258
Deterministic Quicksort,sorted,1000,0.024890966806560756
Randomized Quicksort,sorted,1000,0.0007859918288886548
Deterministic Quicksort,sorted,2000,0.10346234170719981
Randomized Quicksort,sorted,2000,0.001717225182801485
Deterministic Quicksort,sorted,5000,0.6676823914051055
Randomized Quicksort,sorted,5000,0.004572182800620795
Deterministic Quicksort,sorted,10000,2.746961991395801
Randomized Quicksort,sorted,10000,0.010145708080381155
