Algorithm,Data Type,Size,Execution Time (s)
Median of Medians,nearly_sorted,100,8.044160204008221e-05
Randomized Quickselect,nearly_sorted,100,2.628319780342281e-05
Median of Medians,nearly_sorted,500,0.00042930000345222654
Randomized Quickselect,nearly_sorted,500,9.929140214808286e-05
Median of Medians,nearly_sorted,1000,0.0008393917960347608
Randomized Quickselect,nearly_sorted,1000,0.00020982459536753595
Median of Medians,nearly_sorted,2000,0.0017910915979882703
Randomized Quickselect,nearly_sorted,2000,0.00047699999704491346
Median of Medians,nearly_sorted,5000,0.004391258396208286
Randomized Quickselect,nearly_sorted,5000,0.0013115500012645497
Median of Medians,nearly_sorted,10000,0.00846647500002291
Randomized Quickselect,nearly_sorted,10000,0.002624874797766097
Median of Medians,random,100,0.00011758340406231582
Randomized Quickselect,random,100,4.430840199347586e-05
Median of Medians,random,500,0.0004294583952287212
Randomized Quickselect,random,500,0.00012064999900758266
Median of Medians,random,1000,0.0010579750000033528
Randomized Quickselect,random,1000,0.00022850819805171342
Median of Medians,random,2000,0.002339191600913182
Randomized Quickselect,random,2000,0.0004836085950955749
Median of Medians,random,5000,0.005896800002665259
Randomized Quickselect,random,5000,0.001141783595085144
Median of Medians,random,10000,0.011774258399964311
Randomized Quickselect,random,10000,0.0031047165975905955
Median of Medians,reverse,100,0.00010949980060104281
Randomized Quickselect,reverse,100,2.659139863681048e-05
Median of Medians,reverse,500,0.0006718915974488482
Randomized Quickselect,reverse,500,0.00010924180678557604
Median of Medians,reverse,1000,0.0013158249930711463
Randomized Quickselect,reverse,1000,0.00019647520093712956
Median of Medians,reverse,2000,0.0025486997968982906
Randomized Quickselect,reverse,2000,0.0006941418017959222
Median of Medians,reverse,5000,0.0064557499979855494
Randomized Quickselect,reverse,5000,0.0010893749975366517
Median of Medians,reverse,10000,0.013371483396622353
Randomized Quickselect,reverse,10000,0.0023158165975473823
Median of Medians,sorted,100,7.732499798294157e-05
Randomized Quickselect,sorted,100,2.0966600277461112e-05
Median of Medians,sorted,500,0.0004020583990495652
Randomized Quickselect,sorted,500,0.00011074159992858767
Median of Medians,sorted,1000,0.0007860081997932867
Randomized Quickselect,sorted,1000,0.00022487499518319964
Median of Medians,sorted,2000,0.0017087250016629696
Randomized Quickselect,sorted,2000,0.00038884160167071966
Median of Medians,sorted,5000,0.004103308203048073
Randomized Quickselect,sorted,5000,0.0009686168021289631
Median of Medians,sorted,10000,0.008404866597265937
Randomized Quickselect,sorted,10000,0.00209059159969911
