Algorithm,Data Type,Size,Execution Time (s)
Open Addressing,clustered,100,0.0002142751996871084
Separate Chaining,clustered,100,0.0001000335963908583
Open Addressing,clustered,500,0.0011871831899043172
Separate Chaining,clustered,500,0.0005241167964413762
Open Addressing,clustered,1000,0.002445499994792044
Separate Chaining,clustered,1000,0.0010277752007823437
Open Addressing,clustered,2000,0.004939691600156948
Separate Chaining,clustered,2000,0.0020953415893018245
Open Addressing,clustered,5000,0.01268835020600818
Separate Chaining,clustered,5000,0.005329399800393731
Open Addressing,clustered,10000,0.025427858397597446
Separate Chaining,clustered,10000,0.011012016603490337
Open Addressing,nearly_sequential,100,2.5116599863395096e-05
Separate Chaining,nearly_sequential,100,2.218319568783045e-05
Open Addressing,nearly_sequential,500,0.00013102499069646002
Separate Chaining,nearly_sequential,500,0.00011554139782674611
Open Addressing,nearly_sequential,1000,0.0003383667964953929
Separate Chaining,nearly_sequential,1000,0.0002513417915906757
Open Addressing,nearly_sequential,2000,0.000536725006531924
Separate Chaining,nearly_sequential,2000,0.0004748747975099832
Open Addressing,nearly_sequential,5000,0.0013592164032161236
Separate Chaining,nearly_sequential,5000,0.001185750204604119
Open Addressing,nearly_sequential,10000,0.0026684166048653426
Separate Chaining,nearly_sequential,10000,0.002364083199063316
Open Addressing,random,100,3.6775000626221296e-05
Separate Chaining,random,100,2.76501988992095e-05
Open Addressing,random,500,0.0001668584009166807
Separate Chaining,random,500,0.00012303340481594204
Open Addressing,random,1000,0.0003201083920430392
Separate Chaining,random,1000,0.0002737663977313787
Open Addressing,random,2000,0.0006406497966963797
Separate Chaining,random,2000,0.0005633498018141836
Open Addressing,random,5000,0.0016331334016285836
Separate Chaining,random,5000,0.001304550003260374
Open Addressing,random,10000,0.0032727250014431774
Separate Chaining,random,10000,0.002678416797425598
Open Addressing,sequential,100,2.5049998657777906e-05
Separate Chaining,sequential,100,2.2191391326487065e-05
Open Addressing,sequential,500,0.00013275820529088378
Separate Chaining,sequential,500,0.00011815000325441361
Open Addressing,sequential,1000,0.000279816600959748
Separate Chaining,sequential,1000,0.0002652500057592988
Open Addressing,sequential,2000,0.000539299997035414
Separate Chaining,sequential,2000,0.0004832166014239192
Open Addressing,sequential,5000,0.0013174085994251072
Separate Chaining,sequential,5000,0.0011823168024420738
Open Addressing,sequential,10000,0.002691974787740037
Separate Chaining,sequential,10000,0.002309733594302088
