Algorithm,Size,Data Type,Execution Time (s),Memory (KB),Success
Quick Sort (Standard),100,random,0.00023616710677742958,6.001953125,True
Quick Sort (Randomized),100,random,0.00023916689679026604,5.736328125,True
Merge Sort (Standard),100,random,0.00036562513560056686,6.728515625,True
Merge Sort (In-place),100,random,0.00026354240253567696,6.361328125,True
Quick Sort (Standard),100,sorted,0.0003839591518044472,0.8671875,True
Quick Sort (Randomized),100,sorted,0.00012916699051856995,0.8671875,True
Merge Sort (Standard),100,sorted,0.0001937500201165676,1.7421875,True
Merge Sort (In-place),100,sorted,0.00013091694563627243,1.5625,True
Quick Sort (Standard),100,reverse_sorted,0.00031195906922221184,0.8671875,True
Quick Sort (Randomized),100,reverse_sorted,0.00012495927512645721,0.8671875,True
Merge Sort (Standard),100,reverse_sorted,0.00019145803526043892,1.7421875,True
Merge Sort (In-place),100,reverse_sorted,0.00012741703540086746,1.5625,True
Quick Sort (Standard),100,nearly_sorted,0.00015595881268382072,0.8671875,True
Quick Sort (Randomized),100,nearly_sorted,0.0001216251403093338,0.8671875,True
Merge Sort (Standard),100,nearly_sorted,0.00019724993035197258,1.7421875,True
Merge Sort (In-place),100,nearly_sorted,0.0001332918182015419,1.5625,True
Quick Sort (Standard),100,many_duplicates,0.00011583277955651283,0.8671875,True
Quick Sort (Randomized),100,many_duplicates,0.00017741695046424866,0.8671875,True
Merge Sort (Standard),100,many_duplicates,0.00020066695287823677,1.7421875,True
Merge Sort (In-place),100,many_duplicates,0.00016516679897904396,1.5625,True
Quick Sort (Standard),500,random,0.002064458094537258,4.8828125,True
Quick Sort (Randomized),500,random,0.00234412495046854,5.0703125,True
Merge Sort (Standard),500,random,0.0013658339157700539,8.46875,True
Merge Sort (In-place),500,random,0.0032282499596476555,7.90625,True
Quick Sort (Standard),500,sorted,0.04951712489128113,19.296875,True
Quick Sort (Randomized),500,sorted,0.002352416981011629,4.9140625,True
Merge Sort (Standard),500,sorted,0.0009929579682648182,8.25,True
Merge Sort (In-place),500,sorted,0.00257154181599617,7.90625,True
Quick Sort (Standard),500,reverse_sorted,0.09972162498161197,19.9296875,True
Quick Sort (Randomized),500,reverse_sorted,0.0023271250538527966,5.03125,True
Merge Sort (Standard),500,reverse_sorted,0.0010174172930419445,8.25,True
Merge Sort (In-place),500,reverse_sorted,0.0024505830369889736,7.90625,True
Quick Sort (Standard),500,nearly_sorted,0.006017290987074375,7.0703125,True
Quick Sort (Randomized),500,nearly_sorted,0.002633666153997183,5.0859375,True
Merge Sort (Standard),500,nearly_sorted,0.0013660844415426254,8.25,True
Merge Sort (In-place),500,nearly_sorted,0.002478417009115219,7.90625,True
Quick Sort (Standard),500,many_duplicates,0.006704374682158232,7.6328125,True
Quick Sort (Randomized),500,many_duplicates,0.013524959329515696,7.6015625,True
Merge Sort (Standard),500,many_duplicates,0.0010596252977848053,8.25,True
Merge Sort (In-place),500,many_duplicates,0.0031624999828636646,7.90625,True
Quick Sort (Standard),1000,random,0.006252208724617958,9.1640625,True
Quick Sort (Randomized),1000,random,0.006398540921509266,9.1328125,True
Merge Sort (Standard),1000,random,0.0038817906752228737,16.84375,True
Merge Sort (In-place),1000,random,0.008074457757174969,15.8125,True
Quick Sort (Standard),1000,sorted,,,False
Quick Sort (Randomized),1000,sorted,0.005966000258922577,9.03125,True
Merge Sort (Standard),1000,sorted,0.0033042081631720066,16.84375,True
Merge Sort (In-place),1000,sorted,0.008347874972969294,15.8125,True
Quick Sort (Standard),1000,reverse_sorted,,,False
Quick Sort (Randomized),1000,reverse_sorted,0.00656066695228219,9.1953125,True
Merge Sort (Standard),1000,reverse_sorted,0.003311583772301674,16.84375,True
Merge Sort (In-place),1000,reverse_sorted,0.007940665818750858,15.8125,True
Quick Sort (Standard),1000,nearly_sorted,0.012684584129601717,11.3515625,True
Quick Sort (Randomized),1000,nearly_sorted,0.006803625263273716,9.1953125,True
Merge Sort (Standard),1000,nearly_sorted,0.0031073340214788914,16.9609375,True
Merge Sort (In-place),1000,nearly_sorted,0.00820691604167223,15.8125,True
Quick Sort (Standard),1000,many_duplicates,0.03659062460064888,15.2265625,True
Quick Sort (Randomized),1000,many_duplicates,0.04026887472718954,15.1953125,True
Merge Sort (Standard),1000,many_duplicates,0.0031841672025620937,16.84375,True
Merge Sort (In-place),1000,many_duplicates,0.00813724985346198,15.8125,True
Quick Sort (Standard),2000,random,0.015879000071436167,17.8359375,True
Quick Sort (Randomized),2000,random,0.01662316732108593,17.2578125,True
Merge Sort (Standard),2000,random,0.008843791671097279,33.28125,True
Merge Sort (In-place),2000,random,0.021703667007386684,31.4375,True
Quick Sort (Standard),2000,sorted,,,False
Quick Sort (Randomized),2000,sorted,0.01889929175376892,17.5078125,True
Merge Sort (Standard),2000,sorted,0.008415416814386845,33.28125,True
Merge Sort (In-place),2000,sorted,0.021920875180512667,31.4375,True
Quick Sort (Standard),2000,reverse_sorted,,,False
Quick Sort (Randomized),2000,reverse_sorted,0.016728332731872797,17.3203125,True
Merge Sort (Standard),2000,reverse_sorted,0.008017125073820353,33.28125,True
Merge Sort (In-place),2000,reverse_sorted,0.021307541988790035,31.875,True
Quick Sort (Standard),2000,nearly_sorted,0.03282899968326092,20.125,True
Quick Sort (Randomized),2000,nearly_sorted,0.015636832918971777,17.2421875,True
Merge Sort (Standard),2000,nearly_sorted,0.008596166037023067,33.28125,True
Merge Sort (In-place),2000,nearly_sorted,0.021512500010430813,31.4375,True
Quick Sort (Standard),2000,many_duplicates,0.2080975417047739,30.0,True
Quick Sort (Randomized),2000,many_duplicates,0.21156212501227856,29.8359375,True
Merge Sort (Standard),2000,many_duplicates,0.008456207811832428,33.28125,True
Merge Sort (In-place),2000,many_duplicates,0.02095145918428898,31.4375,True
Quick Sort (Standard),5000,random,0.04070858331397176,40.8359375,True
Quick Sort (Randomized),5000,random,0.04803283279761672,40.8828125,True
Merge Sort (Standard),5000,random,0.033346792217344046,82.03125,True
Merge Sort (In-place),5000,random,0.07170891715213656,78.65625,True
Quick Sort (Standard),5000,sorted,,,False
Quick Sort (Randomized),5000,sorted,0.04996099974960089,41.515625,True
Merge Sort (Standard),5000,sorted,0.03110137488692999,81.921875,True
Merge Sort (In-place),5000,sorted,0.07369300024583936,78.4296875,True
Quick Sort (Standard),5000,reverse_sorted,,,False
Quick Sort (Randomized),5000,reverse_sorted,0.047722792252898216,40.6796875,True
Merge Sort (Standard),5000,reverse_sorted,0.03001166693866253,82.1484375,True
Merge Sort (In-place),5000,reverse_sorted,0.06988287530839443,78.8359375,True
Quick Sort (Standard),5000,nearly_sorted,0.11561858328059316,45.28125,True
Quick Sort (Randomized),5000,nearly_sorted,0.04434316698461771,41.53125,True
Merge Sort (Standard),5000,nearly_sorted,0.03301524976268411,82.0390625,True
Merge Sort (In-place),5000,nearly_sorted,0.07171095814555883,78.3125,True
Quick Sort (Standard),5000,many_duplicates,2.2710408340208232,73.1171875,True
Quick Sort (Randomized),5000,many_duplicates,2.3336770832538605,73.0234375,True
Merge Sort (Standard),5000,many_duplicates,0.03277216712012887,81.921875,True
Merge Sort (In-place),5000,many_duplicates,0.07079512532800436,78.6796875,True
